sample_id,protein,1100,1110,1120,1130,1140,1150,1160,1170
S001,10.2,0.12,0.18,0.25,0.32,0.35,0.30,0.22,0.16
S002,10.7,0.14,0.21,0.27,0.34,0.37,0.31,0.24,0.18
S003,11.1,0.16,0.19,0.29,0.38,0.40,0.33,0.23,0.17
S004,11.5,0.17,0.23,0.32,0.40,0.42,0.37,0.26,0.19
S005,11.9,0.19,0.25,0.33,0.41,0.45,0.38,0.28,0.22
S006,12.4,0.20,0.26,0.36,0.44,0.47,0.41,0.30,0.24
S007,12.8,0.23,0.28,0.38,0.46,0.50,0.43,0.33,0.25
S008,13.3,0.24,0.30,0.39,0.49,0.51,0.46,0.35,0.27
S009,13.7,0.26,0.32,0.42,0.51,0.54,0.47,0.36,0.29
S010,14.1,0.27,0.34,0.44,0.53,0.56,0.49,0.38,0.31
S011,14.6,0.29,0.35,0.45,0.56,0.58,0.51,0.40,0.32
S012,15.0,0.31,0.37,0.48,0.58,0.60,0.53,0.42,0.34
